,Record Type,VIN,Registration Class,City,State,Zip,County,Model Year,Make,Body Type,Fuel Type,Unladen Weight,Maximum Gross Weight,Passengers,Reg Valid Date,Reg Expiration Date,Color,Scofflaw Indicator,Suspension Indicator,Revocation Indicator
23968,VEH,7SAYGDEF9RF048780,PAS,STATEN ISLAND,NY,10304,RICHMOND,2024.0,TESLA,SUBN,ELECTRIC,4399.0,,,03/26/2024,03/25/2026,BK,N,N,N
23971,VEH,7SAYGDEF9RF045216,PAS,FRESH MEADOWS,NY,11365,QUEENS,2024.0,TESLA,SUBN,ELECTRIC,4399.0,,,04/10/2024,04/09/2026,GY,N,N,N
23991,VEH,7SAYGDEF9RF022096,PAS,STATEN ISLAND,NY,10306,RICHMOND,2024.0,TESLA,SUBN,ELECTRIC,4399.0,,,03/27/2024,03/08/2026,WH,N,N,N
23994,VEH,7SAYGDEF9RF021109,PAS,BROOKLYN,NY,11207,KINGS,2024.0,TESLA,SUBN,ELECTRIC,4399.0,,,03/09/2024,03/08/2026,GY,N,N,N
24004,VEH,7SAYGDEF9RA317275,PAS,STATEN ISLAND,NY,10308,RICHMOND,2024.0,TESLA,SUBN,ELECTRIC,4399.0,,,08/18/2024,05/17/2025,RD,N,N,N
24005,VEH,7SAYGDEF9RA313226,PAS,BAYSIDE,NY,11360,QUEENS,2024.0,TESLA,SUBN,ELECTRIC,4399.0,,,08/25/2024,01/04/2025,RD,N,N,N
24019,VEH,7SAYGDEF9RA295097,PAS,REGO PARK,NY,11374,QUEENS,2024.0,TESLA,SUBN,ELECTRIC,4399.0,,,06/20/2024,06/19/2026,GY,N,N,N
24037,VEH,7SAYGDEF9RA264593,PAS,BROOKLYN,NY,11235,KINGS,2024.0,TESLA,SUBN,ELECTRIC,4399.0,,,06/02/2024,06/01/2026,GY,N,N,N
24038,VEH,7SAYGDEF9RA264433,PAS,BROOKLYN,NY,11204,KINGS,2024.0,TESLA,SUBN,ELECTRIC,4364.0,,,03/30/2024,03/18/2025,WH,N,N,N
24039,VEH,7SAYGDEF9RA264108,PAS,STATEN ISLAND,NY,10314,RICHMOND,2024.0,TESLA,SUBN,ELECTRIC,4399.0,,,05/21/2024,05/20/2026,WH,N,N,N
24041,VEH,7SAYGDEF9RA262732,PAS,STATEN ISLAND,NY,10314,RICHMOND,2024.0,TESLA,SUBN,ELECTRIC,4399.0,,,06/27/2024,06/26/2026,GY,N,N,N
24047,VEH,7SAYGDEF9RA255702,PAS,BROOKLYN,NY,11232,KINGS,2024.0,TESLA,SUBN,ELECTRIC,4399.0,,,06/03/2024,07/30/2025,GY,N,N,N
24048,VEH,7SAYGDEF9PF979874,PAS,BROOKLYN,NY,11234,KINGS,2023.0,TESLA,SUBN,ELECTRIC,4399.0,,,01/13/2024,01/12/2026,GY,N,N,N
24050,VEH,7SAYGDEF9PF970589,PAS,NEW YORK,NY,10023,NEW YORK,2023.0,TESLA,SUBN,ELECTRIC,4399.0,,,01/13/2024,01/12/2026,RD,N,N,N
24056,VEH,7SAYGDEF9PF964954,PAS,GLEN OAKS,NY,11004,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4429.0,,,12/30/2023,12/29/2025,GY,N,N,N
24059,VEH,7SAYGDEF9PF959253,PAS,STATEN ISLAND,NY,10305,RICHMOND,2023.0,TESLA,SUBN,ELECTRIC,4429.0,,,12/15/2023,02/11/2026,GY,N,N,N
24061,VEH,7SAYGDEF9PF947474,PAS,BRONX,NY,10466,BRONX,2023.0,TESLA,SUBN,ELECTRIC,4429.0,,,12/12/2023,12/31/2024,WH,N,N,N
24064,VEH,7SAYGDEF9PF946521,PAS,BROOKLYN,NY,11201,KINGS,2023.0,TESLA,SUBN,ELECTRIC,4429.0,,,12/14/2023,12/13/2025,BK,N,N,N
24084,VEH,7SAYGDEF9PF919965,PAS,FOREST HILLS,NY,11375,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4399.0,,,12/03/2023,12/07/2024,GY,N,N,N
24087,VEH,7SAYGDEF9PF918685,PAS,MASPETH,NY,11378,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4399.0,,,12/02/2023,01/31/2025,BK,N,N,N
24093,VEH,7SAYGDEF9PF915074,PAS,BROOKLYN,NY,11238,KINGS,2023.0,TESLA,SUBN,ELECTRIC,4399.0,,,01/24/2024,11/21/2025,GY,N,N,N
24095,VEH,7SAYGDEF9PF914605,PAS,QUEENS VLG,NY,11427,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4399.0,,,11/10/2023,11/09/2025,GY,N,N,N
24097,VEH,7SAYGDEF9PF913065,PAS,NEW YORK CITY,NY,10011,NEW YORK,2023.0,TESLA,SUBN,ELECTRIC,4399.0,,,11/22/2023,11/21/2025,BK,N,N,N
24120,VEH,7SAYGDEF9PF887082,PAS,STATEN ISLAND,NY,10304,RICHMOND,2023.0,TESLA,SUBN,ELECTRIC,4429.0,,,09/29/2023,09/28/2025,WH,N,N,N
24129,VEH,7SAYGDEF9PF865034,PAS,BROOKLYN,NY,11209,KINGS,2023.0,TESLA,SUBN,ELECTRIC,4429.0,,,09/07/2023,09/06/2025,GY,N,N,N
24130,VEH,7SAYGDEF9PF864255,PAS,GLEN OAKS,NY,11004,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4429.0,,,09/08/2023,09/07/2025,BK,N,N,N
24136,VEH,7SAYGDEF9PF860786,PAS,BAYSIDE,NY,11360,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4429.0,,,09/08/2023,09/07/2025,GY,N,N,N
24138,VEH,7SAYGDEF9PF859895,PAS,STATEN ISLAND,NY,10309,RICHMOND,2023.0,TESLA,SUBN,ELECTRIC,4429.0,,,08/31/2023,06/30/2025,GY,N,N,N
24139,VEH,7SAYGDEF9PF853983,PAS,STATEN ISLAND,NY,10314,RICHMOND,2023.0,TESLA,SUBN,ELECTRIC,4429.0,,,08/26/2023,08/25/2025,WH,N,N,N
24143,VEH,7SAYGDEF9PF841994,PAS,BROOKLYN,NY,11231,KINGS,2023.0,TESLA,SUBN,ELECTRIC,5252.0,,,07/31/2023,07/30/2025,WH,N,N,N
24145,VEH,7SAYGDEF9PF838531,PAS,ELMHURST,NY,11373,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4429.0,,,09/06/2023,08/05/2025,GY,N,N,N
24149,VEH,7SAYGDEF9PF830218,PAS,BROOKLYN,NY,11207,KINGS,2023.0,TESLA,SUBN,ELECTRIC,4364.0,,,07/28/2023,07/27/2025,BL,N,N,N
24150,VEH,7SAYGDEF9PF830011,PAS,STATEN ISLAND,NY,10304,RICHMOND,2023.0,TESLA,SUBN,ELECTRIC,4429.0,,,08/22/2024,07/25/2025,BK,N,N,N
24155,VEH,7SAYGDEF9PF810132,PAS,STATEN ISLAND,NY,10314,RICHMOND,2023.0,TESLA,SUBN,ELECTRIC,4429.0,,,09/12/2023,06/25/2025,GY,N,N,N
24158,VEH,7SAYGDEF9PF807330,PAS,BAYSIDE,NY,11360,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4429.0,,,06/26/2023,06/25/2025,WH,N,N,N
24175,VEH,7SAYGDEF9PF783482,PAS,BROOKLYN,NY,11218,KINGS,2023.0,TESLA,SUBN,ELECTRIC,4399.0,,,07/16/2024,08/28/2026,GY,N,N,N
24180,VEH,7SAYGDEF9PF776709,PAS,STATEN ISLAND,NY,10309,RICHMOND,2023.0,TESLA,SUBN,ELECTRIC,4399.0,,,08/10/2023,09/10/2025,BL,N,N,N
24186,VEH,7SAYGDEF9PF772210,PAS,BROOKLYN,NY,11232,KINGS,2023.0,TESLA,SUBN,ELECTRIC,4399.0,,,05/24/2023,05/31/2025,BK,N,N,N
24193,VEH,7SAYGDEF9PF757433,PAS,WHITESTONE,NY,11357,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4399.0,,,04/26/2023,04/25/2025,WH,N,N,N
24195,VEH,7SAYGDEF9PF751485,PAS,STATEN ISLAND,NY,10309,RICHMOND,2023.0,TESLA,SUBN,ELECTRIC,4429.0,,,04/22/2023,04/21/2025,WH,N,N,N
24200,VEH,7SAYGDEF9PF712847,PAS,FLUSHING,NY,11355,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4399.0,,,03/30/2023,03/29/2025,WH,N,N,N
24207,VEH,7SAYGDEF9PF705204,PAS,MASPETH,NY,11378,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4399.0,,,03/25/2023,03/24/2025,WH,N,N,N
24211,VEH,7SAYGDEF9PF701508,PAS,STATEN ISLAND,NY,10309,RICHMOND,2023.0,TESLA,SUBN,ELECTRIC,4399.0,,,03/18/2023,03/17/2025,WH,N,N,N
24212,VEH,7SAYGDEF9PF701427,PAS,BROOKLYN,NY,11228,KINGS,2023.0,TESLA,SUBN,ELECTRIC,4399.0,,,08/08/2023,03/15/2025,WH,N,N,N
24215,VEH,7SAYGDEF9PF700553,PAS,NEW YORK,NY,10001,NEW YORK,2023.0,TESLA,SUBN,ELECTRIC,4399.0,,,03/18/2023,03/17/2025,GY,N,N,N
24221,VEH,7SAYGDEF9PF690767,PAS,FLUSHING,NY,11367,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4429.0,,,02/28/2023,02/27/2025,WH,N,N,N
24223,VEH,7SAYGDEF9PF673533,PAS,NEW YORK,NY,10021,NEW YORK,2023.0,TESLA,SUBN,ELECTRIC,4399.0,,,02/18/2023,02/17/2025,GY,N,Y,N
24225,VEH,7SAYGDEF9PF668946,PAS,OAKLAND GDNS,NY,11364,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4399.0,,,09/05/2023,10/26/2025,BL,N,N,N
24227,VEH,7SAYGDEF9PF667229,PAS,FRESH MEADOWS,NY,11365,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4399.0,,,02/10/2023,02/09/2025,WH,N,N,N
24242,VEH,7SAYGDEF9PF614756,PAS,STATEN ISLAND,NY,10309,RICHMOND,2023.0,TESLA,SUBN,ELECTRIC,4429.0,,,12/30/2022,12/29/2024,GY,N,N,N
24247,VEH,7SAYGDEF9PF601523,PAS,BROOKLYN,NY,11223,KINGS,2023.0,TESLA,SUBN,ELECTRIC,4429.0,,,12/20/2022,12/19/2024,BK,N,N,N
24253,VEH,7SAYGDEF9PF584108,PAS,STATEN ISLAND,NY,10309,RICHMOND,2023.0,TESLA,SUBN,ELECTRIC,4399.0,,,11/03/2022,11/30/2024,GY,N,N,N
24254,VEH,7SAYGDEF9PA049826,PAS,STATEN ISLAND,NY,10312,RICHMOND,2023.0,TESLA,SUBN,ELECTRIC,4399.0,,,04/18/2024,04/17/2026,WH,N,N,N
24255,VEH,7SAYGDEF9PA049762,PAS,LONGISLANDCITY,NY,11101,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4416.0,,,12/31/2022,12/30/2024,GY,N,N,N
24258,VEH,7SAYGDEF9PA049275,PAS,RICHMOND HILL,NY,11418,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4416.0,,,01/21/2023,01/20/2025,GY,N,N,N
24266,VEH,7SAYGDEF9NF562218,PAS,BROOKLYN,NY,11230,KINGS,2022.0,TESLA,SUBN,ELECTRIC,4399.0,,,07/23/2024,10/13/2026,GY,N,N,N
24269,VEH,7SAYGDEF9NF547508,PAS,BRONX,NY,10468,BRONX,2022.0,TESLA,SUBN,ELECTRIC,4399.0,,,07/25/2024,09/21/2026,BK,N,N,N
24271,VEH,7SAYGDEF9NF546679,PAS,BROOKLYN,NY,11204,KINGS,2022.0,TESLA,SUBN,ELECTRIC,4399.0,,,07/25/2024,09/19/2026,WH,N,N,N
24272,VEH,7SAYGDEF9NF546519,PAS,NEW YORK CITY,NY,10023,NEW YORK,2022.0,TESLA,SUBN,ELECTRIC,4399.0,,,12/19/2022,12/18/2024,RD,N,Y,N
24276,VEH,7SAYGDEF9NF540588,PAS,GLENDALE,NY,11385,QUEENS,2022.0,TESLA,SUBN,ELECTRIC,4399.0,,,06/19/2024,09/11/2026,RD,N,N,N
24277,VEH,7SAYGDEF9NF540204,PAS,STATEN ISLAND,NY,10309,RICHMOND,2022.0,TESLA,SUBN,ELECTRIC,4399.0,,,08/06/2024,09/16/2026,RD,N,N,N
24278,VEH,7SAYGDEF9NF539957,PAS,BROOKLYN,NY,11236,KINGS,2022.0,TESLA,SUBN,ELECTRIC,4399.0,,,09/25/2024,09/08/2026,GY,N,N,N
24286,VEH,7SAYGDEF9NF535004,PAS,STATEN ISLAND,NY,10314,RICHMOND,2022.0,TESLA,SUBN,ELECTRIC,4399.0,,,08/02/2024,09/17/2026,WH,N,N,N
24292,VEH,7SAYGDEF9NF530434,PAS,NEW YORK,NY,10023,NEW YORK,2022.0,TESLA,SUBN,ELECTRIC,4399.0,,,06/28/2024,08/31/2026,WH,N,N,N
24302,VEH,7SAYGDEF9NF518509,PAS,BRONX,NY,10451,BRONX,2022.0,TESLA,SUBN,ELECTRIC,4555.0,,,08/06/2024,02/23/2025,WH,N,N,N
24303,VEH,7SAYGDEF9NF517862,PAS,BROOKLYN,NY,11223,KINGS,2022.0,TESLA,SUBN,ELECTRIC,4399.0,,,09/23/2024,08/17/2026,WH,N,N,N
24304,VEH,7SAYGDEF9NF517490,PAS,STATEN ISLAND,NY,10314,RICHMOND,2022.0,TESLA,SUBN,ELECTRIC,4399.0,,,05/09/2023,06/03/2025,WH,N,N,N
24308,VEH,7SAYGDEF9NF515318,PAS,STATEN ISLAND,NY,10301,RICHMOND,2022.0,TESLA,SUBN,ELECTRIC,4399.0,,,07/17/2024,08/31/2026,BK,N,N,N
24317,VEH,7SAYGDEF9NF512807,PAS,STATEN ISLAND,NY,10308,RICHMOND,2022.0,TESLA,SUBN,ELECTRIC,4429.0,,,07/05/2024,08/10/2026,GY,N,N,N
24319,VEH,7SAYGDEF9NF510586,PAS,KEW GARDENS,NY,11415,QUEENS,2022.0,TESLA,SUBN,ELECTRIC,4429.0,,,06/17/2024,08/13/2026,RD,N,N,N
24327,VEH,7SAYGDEF9NF488394,PAS,NEW YORK,NY,10011,NEW YORK,2022.0,TESLA,SUBN,ELECTRIC,4399.0,,,09/04/2024,09/03/2026,WH,N,N,N
24339,VEH,7SAYGDEF9NF463303,PAS,GLEN OAKS,NY,11004,QUEENS,2022.0,TESLA,SUBN,ELECTRIC,4429.0,,,05/21/2024,06/18/2026,WH,N,N,N
